ticks, pid, proc_tickets, proc_ticks
500, 1, 1, 0
500, 2, 1, 1
500, 3, 10, 0
500, 4, 10, 26
500, 5, 20, 61
500, 6, 30, 77
1000, 1, 1, 0
1000, 2, 1, 1
1000, 3, 10, 0
1000, 4, 10, 117
1000, 5, 20, 220
1000, 6, 30, 327
1500, 1, 1, 0
1500, 2, 1, 1
1500, 3, 10, 0
1500, 4, 10, 215
1500, 5, 20, 384
1500, 6, 30, 565
2000, 1, 1, 0
2000, 2, 1, 1
2000, 3, 10, 0
2000, 4, 10, 303
2000, 5, 20, 558
2000, 6, 30, 803
2500, 1, 1, 0
2500, 2, 1, 1
2500, 3, 10, 0
2500, 4, 10, 377
2500, 5, 20, 723
2500, 6, 30, 1064
3000, 1, 1, 0
3000, 2, 1, 1
3000, 3, 10, 0
3000, 4, 10, 469
3000, 5, 20, 891
3000, 6, 30, 1304
3500, 1, 1, 0
3500, 2, 1, 1
3500, 3, 10, 0
3500, 4, 10, 568
3500, 5, 20, 1050
3500, 6, 30, 1546
4000, 1, 1, 0
4000, 2, 1, 1
4000, 3, 10, 0
4000, 4, 10, 670
4000, 5, 20, 1212
4000, 6, 30, 1782
4500, 1, 1, 0
4500, 2, 1, 1
4500, 3, 10, 0
4500, 4, 10, 765
4500, 5, 20, 1383
4500, 6, 30, 2016
5000, 1, 1, 0
5000, 2, 1, 1
5000, 3, 10, 0
5000, 4, 10, 864
5000, 5, 20, 1531
5000, 6, 30, 2269
5500, 1, 1, 0
5500, 2, 1, 1
5500, 3, 10, 0
5500, 4, 10, 953
5500, 5, 20, 1698
5500, 6, 30, 2513
6000, 1, 1, 0
6000, 2, 1, 1
6000, 3, 10, 0
6000, 4, 10, 1037
6000, 5, 20, 1869
6000, 6, 30, 2758
6500, 1, 1, 0
6500, 2, 1, 1
6500, 3, 10, 0
6500, 4, 10, 1135
6500, 5, 20, 2022
6500, 6, 30, 3007
7000, 1, 1, 0
7000, 2, 1, 1
7000, 3, 10, 0
7000, 4, 10, 1219
7000, 5, 20, 2189
7000, 6, 30, 3256
7500, 1, 1, 0
7500, 2, 1, 1
7500, 3, 10, 0
7500, 4, 10, 1308
7500, 5, 20, 2367
7500, 6, 30, 3489
8000, 1, 1, 0
8000, 2, 1, 1
8000, 3, 10, 0
8000, 4, 10, 1397
8000, 5, 20, 2556
8000, 6, 30, 3711
8500, 1, 1, 0
8500, 2, 1, 1
8500, 3, 10, 0
8500, 4, 10, 1486
8500, 5, 20, 2732
8500, 6, 30, 3946
9000, 1, 1, 0
9000, 2, 1, 1
9000, 3, 10, 0
9000, 4, 10, 1579
9000, 5, 20, 2882
9000, 6, 30, 4203
9500, 1, 1, 0
9500, 2, 1, 1
9500, 3, 10, 0
9500, 4, 10, 1686
9500, 5, 20, 3042
9500, 6, 30, 4436
10000, 1, 1, 0
10000, 2, 1, 1
10000, 3, 10, 0
10000, 4, 10, 1778
10000, 5, 20, 3211
10000, 6, 30, 4675
